from,to
1994,Advanced Consumer Technology
1994,Advanced Technology
1994,Advanced Technology Sales
1994,Analysis Business Unit
1994,Apple Computer
1994,Apple Computer Inc
1994,Applications Software
1994,Board
1994,Business Systems Division
1994,Consumer Division
1994,Desktop Applications Division
1994,Developer Division
1994,IBM
1994,Intel
1994,International Operations
1994,MICROSOFT
1994,Macintosh
1994,Microsoft
1994,Microsoft Access
1994,Microsoft Developer Network
1994,Microsoft Europe
1994,Microsoft Excel
1994,Microsoft Mail
1994,Microsoft Money
1994,Microsoft Mouse
1994,Microsoft North America
1994,Microsoft Office
1994,Microsoft Press
1994,Microsoft SQL Server
1994,Microsoft Solutions Providers
1994,Microsoft Word
1994,Microsoft Works
1994,Novell
1994,OEM
1994,OEM Sales
1994,OEM Sales Division
1994,OLE
1994,Office Business Unit
1994,Operations
1994,Personal Operating Systems Division
1994,Product Support Services
1994,SQL
1994,SQL Server
1994,Sales Support
1994,Solutions Providers
1994,Strategic Enterprise Services
1994,Systems Division
1994,Systems Software
1994,The Desktop Applications Division
1994,The Developer Division
1994,The Personal Operating Systems Division
1994,WINDOWS
1995,Applications Content Group
1995,BackOffice
1995,Board
1995,Business Systems Division
1995,Consumer Division
1995,Consumer Systems Division
1995,Desktop Applications Division
1995,Developer Division
1995,Digital Equipment Corporation
1995,Group
1995,IBM
1995,Intel
1995,Lotus
1995,MSN
1995,Macintosh
1995,Microsoft
1995,Microsoft Access
1995,Microsoft Developer Network
1995,Microsoft Excel
1995,Microsoft Mail
1995,Microsoft Mail Server
1995,Microsoft Money
1995,Microsoft Mouse
1995,Microsoft Office
1995,Microsoft Press
1995,Microsoft SQL Server
1995,Microsoft Solutions Providers
1995,Microsoft Word
1995,Microsoft Works
1995,Novell
1995,OEM
1995,OLE
1995,Oracle
1995,Personal Systems Division
1995,Platforms Group
1995,Product Support Services
1995,SQL Server
1995,Solutions Providers
1995,Sun Microsystems
1995,Sybase
1995,Systems Management Server
1995,Systems Software
1995,The
1995,The Business Systems Division
1995,The Consumer Division
1995,The Consumer Systems Division
1995,The Desktop Applications Division
1995,The Developer Division
1995,The MSN Division
1995,The Microsoft Network
1995,The Personal Systems Division
1995,The Sales Support Group
1995,Worldwide OEM Sales
1995,Worldwide Sales Support
1996,ActiveX
1996,America Online
1996,Apple
1996,Broadcast
1996,CompuServe
1996,Corel
1996,Digital Equipment Corporation
1996,Digital Studio
1996,IBM
1996,IIS
1996,Intel
1996,MICROSOFT
1996,MSN
1996,MSNBC
1996,Macintosh
1996,Microsoft
1996,Microsoft Access
1996,Microsoft Developer Network
1996,Microsoft Excel
1996,Microsoft Money
1996,Microsoft Mouse
1996,Microsoft Office
1996,Microsoft Press
1996,Microsoft Solution Providers
1996,Microsoft Word
1996,Microsoft Works
1996,Netscape
1996,OEM
1996,OLE
1996,Oracle
1996,Softimage
1996,Solution Providers
1996,Sun Microsystems
1996,Sybase
1996,The Consumer Platforms Division
1996,The Desktop Applications Division
1996,The Desktop Business Systems Division
1996,The Microsoft Network
1996,WINDOWS
1997,ActiveX
1997,America Online
1997,Apple
1997,BackOffice
1997,CompuServe
1997,Corel
1997,Digital Equipment Corporation
1997,Expedia
1997,IBM
1997,Intel
1997,Interactive Media
1997,MICROSOFT
1997,MSN
1997,MSNBC
1997,Macintosh
1997,Microsoft
1997,Microsoft Access
1997,Microsoft Developer Network
1997,Microsoft Excel
1997,Microsoft Money
1997,Microsoft Mouse
1997,Microsoft Office
1997,Microsoft Press
1997,Microsoft Publisher
1997,Microsoft Solution Providers
1997,Microsoft Word
1997,Microsoft Works
1997,Netscape
1997,Novell
1997,OEM
1997,Oracle
1997,Softimage
1997,Solution Providers
1997,Sun
1997,Sybase
1997,The Business Systems Division
1997,The Consumer Platforms Division
1997,The Desktop Applications Division
1997,The Developer Tools Division
1997,The Internet Client Collaboration Division
1997,The Personal Systems Division
1997,WINDOWS
1997,World Wide Web
1998,ActiveX
1998,Apple
1998,COM
1998,Compaq
1998,Corel
1998,Desktop Finance
1998,HTML
1998,IBM
1998,Intel
1998,Interactive Media
1998,Java
1998,Linux
1998,MSN
1998,MSNBC
1998,Macintosh
1998,Microsoft
1998,Microsoft Access
1998,Microsoft Developer Network
1998,Microsoft Direct Access
1998,Microsoft Excel
1998,Microsoft Exchange Server
1998,Microsoft Money
1998,Microsoft Network
1998,Microsoft Office
1998,Microsoft Outlook
1998,Microsoft PowerPoint
1998,Microsoft Press
1998,Microsoft Project
1998,Microsoft Solution Providers
1998,Microsoft Word
1998,Microsoft Works
1998,Netscape
1998,Novell
1998,OEM
1998,Oracle
1998,Software
1998,Solution Providers
1998,Sun Microsystems
1998,Sybase
1998,The
1998,The Applications Tools Group
1998,The Consumer Platforms Group
1998,The Platforms Group
1999,AOL
1999,AT T
1999,Advanced Consumer Technology
1999,Apple
1999,Board
1999,Business Productivity
1999,Business Systems Division
1999,COM
1999,Compaq
1999,Consumer Commerce
1999,Consumer Platforms
1999,Corel
1999,Desktop Applications
1999,Desktop Applications Division
1999,Developer
1999,Group
1999,Home Retail
1999,IBM
1999,Intel
1999,Java
1999,Linux
1999,MCP
1999,MSN
1999,MSN Commerce
1999,MSN Internet Access
1999,MSN Portal
1999,MSNBC
1999,Microsoft
1999,Microsoft Access
1999,Microsoft Certified Solution Providers
1999,Microsoft Consulting Services
1999,Microsoft Developer Network
1999,Microsoft Direct Access
1999,Microsoft Europe
1999,Microsoft Excel
1999,Microsoft Exchange Server
1999,Microsoft Money
1999,Microsoft Office
1999,Microsoft Passport
1999,Microsoft Press
1999,Microsoft SQL Server
1999,Microsoft Word
1999,Microsoft Works
1999,Netscape
1999,OEM
1999,OEM Sales
1999,Office
1999,Oracle
1999,Sales Support
1999,Server Applications
1999,Silicon Graphics Inc
1999,Solution Providers
1999,Sun Microsystems
1999,Sybase
1999,Systems Software
1999,The Consumer Commerce Group
1999,The Developer Group
1999,TransPoint
2000,AOL
2000,Advanced Consumer Technology
2000,Advanced Server
2000,Apple
2000,Board
2000,Business Applications
2000,Business Productivity
2000,Business Systems Division
2000,COM
2000,Consumer Commerce
2000,Consumer Group
2000,Consumer Platforms
2000,Corel
2000,Desktop Applications
2000,Developer
2000,EPG
2000,Expedia
2000,Group
2000,Home Retail
2000,IBM
2000,Inc
2000,Java
2000,Law Corporate Affairs
2000,Linux
2000,MCP
2000,MSN
2000,MSN Internet Access
2000,MSN Portal
2000,MSNBC
2000,Microsoft
2000,Microsoft Access
2000,Microsoft Bookshelf
2000,Microsoft Developer Network
2000,Microsoft Direct Access
2000,Microsoft Europe
2000,Microsoft Excel
2000,Microsoft Exchange Server
2000,Microsoft Money
2000,Microsoft Office
2000,Microsoft Passport
2000,Microsoft Press
2000,Microsoft SQL Server
2000,Microsoft Word
2000,Microsoft Works
2000,NET
2000,OEM
2000,Office
2000,Oracle
2000,Personal Services
2000,Sales Marketing
2000,Sales Support
2000,Server Applications
2000,Silicon Graphics Inc
2000,Solution Providers
2000,Sony
2000,Subscription Service
2000,Sun Microsystems
2000,Support Group
2000,Sybase
2000,Systems Software
2000,The Consumer Group
2000,The Developer Group
2000,The Productivity Applications
2000,The Windows Division
2000,TransPoint
2000,Windows Media Technologies
2000,XML
2000,Yahoo
2000,bCentral
2001,AOL
2001,AOL Time Warner
2001,Advanced Consumer Technology
2001,Advanced Server
2001,Apple
2001,Application Center
2001,Board
2001,Business Groups
2001,Business Productivity
2001,Business Systems Division
2001,CNBC
2001,CarPoint
2001,Consumer Commerce
2001,Consumer Commerce Investments
2001,Consumer Software
2001,Corel
2001,Datacenter Server
2001,Desktop Applications
2001,Desktop Enterprise Software
2001,Desktop Enterprise Software Services
2001,Desktop Platforms
2001,Devices
2001,Electronic Arts
2001,Enterprise Services
2001,Enterprise Software Services
2001,Exchange Server
2001,Expedia
2001,Expedia Inc
2001,Group
2001,HailStorm
2001,HomeAdvisor
2001,Human Resources
2001,IBM
2001,Law Corporate Affairs
2001,Linux
2001,MSN
2001,MSN Business Group
2001,MSN Internet Access
2001,MSN eShop
2001,MSNBC
2001,Microsoft
2001,Microsoft Access
2001,Microsoft Europe
2001,Microsoft Excel
2001,Microsoft Great Plains
2001,Microsoft Money
2001,Microsoft Office
2001,Microsoft Press
2001,Microsoft Project
2001,Microsoft Research
2001,Microsoft Windows CE
