entity,type,year
16,CARDINAL,1994
22,CARDINAL,1994
3,CARDINAL,1994
1,CARDINAL,1994
Microsoft Corporation,ORG,1994
"the ""Company""",ORG,1994
Microsoft,ORG,1994
1975,DATE,1994
1981,DATE,1994
Company,ORG,1994
one,CARDINAL,1994
Microsoft,ORG,1994
Company,ORG,1994
three,CARDINAL,1994
the Products Group,ORG,1994
Sales and Support Group,ORG,1994
the Operations Group,ORG,1994
The Products Group,ORG,1994
five,CARDINAL,1994
The Personal Operating Systems Division,ORG,1994
The Business Systems Division,ORG,1994
The Desktop Applications Division,ORG,1994
The Developer Division,ORG,1994
The Consumer Division,ORG,1994
Microsoft,ORG,1994
Advanced Technology Division,ORG,1994
The Sales and Support Group,ORG,1994
one,CARDINAL,1994
three,CARDINAL,1994
Sales and Support,ORG,1994
U.S.,GPE,1994
Canada,GPE,1994
Europe,LOC,1994
Company,ORG,1994
"Product Support Services, Consulting Services",ORG,1994
Solutions Providers,ORG,1994
The Operations Group,ORG,1994
Microsoft Press,ORG,1994
PERSONAL OPERATING SYSTEMS,ORG,1994
The Personal Operating Systems Division,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Workgroups,ORG,1994
MS-DOS:,PERSON,1994
Microsoft,ORG,1994
Intel,ORG,1994
MS-DOS,PERSON,1994
IBM,ORG,1994
1981,DATE,1994
Company,ORG,1994
MS-DOS,PRODUCT,1994
MS-DOS,PERSON,1994
Microsoft,ORG,1994
Windows,PRODUCT,1994
MS-DOS,PRODUCT,1994
Microsoft,ORG,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
1,CARDINAL,1994
4,CARDINAL,1994
WINDOWS,ORG,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
95,CARDINAL,1994
Microsoft,ORG,1994
MS-DOS,PRODUCT,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
Company,ORG,1994
95,PRODUCT,1994
Business Systems,ORG,1994
WINDOWS,ORG,1994
Microsoft,ORG,1994
Windows NT Workstation,PRODUCT,1994
Intel,ORG,1994
386,PRODUCT,1994
486,CARDINAL,1994
Windows NT,ORG,1994
Windows,PRODUCT,1994
Windows NT,PRODUCT,1994
Windows,PRODUCT,1994
The Windows NT(TM),PRODUCT,1994
Windows NT Workstation,PRODUCT,1994
SQL,ORG,1994
Company,ORG,1994
Microsoft SQL Server,ORG,1994
Microsoft,ORG,1994
"Sybase, Inc.",ORG,1994
SQL Server,ORG,1994
SQL Server,ORG,1994
the Structured Query Language,PRODUCT,1994
Company,ORG,1994
SQL,ORG,1994
Windows NT,PRODUCT,1994
SQL Server,PRODUCT,1994
Company,ORG,1994
Microsoft,ORG,1994
MS-DOS,PRODUCT,1994
Windows,PRODUCT,1994
Microsoft Operating System/2,ORG,1994
UNIX Systems,ORG,1994
VAX VMS,PRODUCT,1994
Windows NT,PRODUCT,1994
Windows NT Server,PRODUCT,1994
Windows,PRODUCT,1994
MICROSOFT,ORG,1994
Company,ORG,1994
Microsoft Mail,ORG,1994
Microsoft Mail,ORG,1994
Microsoft,ORG,1994
Windows,PRODUCT,1994
MS-DOS,PRODUCT,1994
Macintosh,ORG,1994
Microsoft Mail,ORG,1994
Macintosh,ORG,1994
Microsoft Mail Remote,ORG,1994
Windows,PRODUCT,1994
1992,DATE,1994
Company,ORG,1994
first,ORDINAL,1994
Microsoft Mail,ORG,1994
Microsoft,ORG,1994
Schedule+,PERSON,1994
MICROSOFT,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Windows,PRODUCT,1994
Microsoft,ORG,1994
more than 70,CARDINAL,1994
2,CARDINAL,1994
5,CARDINAL,1994
DESKTOP APPLICATIONS SOFTWARE,ORG,1994
The Desktop Applications Division,ORG,1994
Company,ORG,1994
Company,ORG,1994
Windows,PRODUCT,1994
Macintosh,ORG,1994
MICROSOFT OFFICE,ORG,1994
Microsoft Office,ORG,1994
Company,ORG,1994
OLE,ORG,1994
Microsoft Office,ORG,1994
two,CARDINAL,1994
Standard and Professional,ORG,1994
Microsoft Word,ORG,1994
Microsoft Excel,ORG,1994
Microsoft,ORG,1994
Microsoft Mail,ORG,1994
Windows,PRODUCT,1994
Macintosh,PRODUCT,1994
The Microsoft Office Professional Edition for Windows,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft Word,ORG,1994
Microsoft,ORG,1994
MS-DOS,ORG,1994
1983,DATE,1994
first,ORDINAL,1994
Microsoft Word,ORG,1994
Microsoft Word,ORG,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
Company,ORG,1994
Macintosh,ORG,1994
Company,ORG,1994
Microsoft Excel,ORG,1994
Windows,PRODUCT,1994
Macintosh,PRODUCT,1994
Microsoft Excel,ORG,1994
Windows,PRODUCT,1994
Microsoft Excel,ORG,1994
Microsoft Excel,ORG,1994
first,ORDINAL,1994
1985,DATE,1994
Apple,ORG,1994
Macintosh,PRODUCT,1994
Microsoft Excel,ORG,1994
Windows,PRODUCT,1994
1987,DATE,1994
Microsoft,ORG,1994
PowerPoint,ORG,1994
Microsoft,ORG,1994
Windows,PRODUCT,1994
Macintosh,PRODUCT,1994
PROJECT MANAGEMENT,ORG,1994
Microsoft Project,ORG,1994
Windows,PRODUCT,1994
Macintosh,PRODUCT,1994
The Developer Division,ORG,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
Windows NT,PRODUCT,1994
3,CARDINAL,1994
6,CARDINAL,1994
Company,ORG,1994
Microsoft Access,ORG,1994
Microsoft,ORG,1994
FoxPro(R,PRODUCT,1994
Microsoft SQL Server,ORG,1994
Microsoft Access,ORG,1994
Microsoft Office,ORG,1994
Microsoft,ORG,1994
FoxPro,PRODUCT,1994
xBase,PRODUCT,1994
FoxPro,PRODUCT,1994
xBase,ORG,1994
MS-DOS,ORG,1994
