entity,type,year
Microsoft Corporation,ORG,1994
"the ""Company""",ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
the Products Group,ORG,1994
Sales and Support Group,ORG,1994
the Operations Group,ORG,1994
The Products Group,ORG,1994
The Personal Operating Systems Division,ORG,1994
The Business Systems Division,ORG,1994
The Desktop Applications Division,ORG,1994
The Developer Division,ORG,1994
The Consumer Division,ORG,1994
Microsoft,ORG,1994
Advanced Technology Division,ORG,1994
The Sales and Support Group,ORG,1994
Sales and Support,ORG,1994
Company,ORG,1994
"Product Support Services, Consulting Services",ORG,1994
Solutions Providers,ORG,1994
The Operations Group,ORG,1994
Microsoft Press,ORG,1994
PERSONAL OPERATING SYSTEMS,ORG,1994
The Personal Operating Systems Division,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Workgroups,ORG,1994
Microsoft,ORG,1994
Intel,ORG,1994
IBM,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
WINDOWS,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Business Systems,ORG,1994
WINDOWS,ORG,1994
Microsoft,ORG,1994
Intel,ORG,1994
Windows NT,ORG,1994
SQL,ORG,1994
Company,ORG,1994
Microsoft SQL Server,ORG,1994
Microsoft,ORG,1994
"Sybase, Inc.",ORG,1994
SQL Server,ORG,1994
SQL Server,ORG,1994
Company,ORG,1994
SQL,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft Operating System/2,ORG,1994
UNIX Systems,ORG,1994
MICROSOFT,ORG,1994
Company,ORG,1994
Microsoft Mail,ORG,1994
Microsoft Mail,ORG,1994
Microsoft,ORG,1994
Macintosh,ORG,1994
Microsoft Mail,ORG,1994
Macintosh,ORG,1994
Microsoft Mail Remote,ORG,1994
Company,ORG,1994
Microsoft Mail,ORG,1994
Microsoft,ORG,1994
MICROSOFT,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
DESKTOP APPLICATIONS SOFTWARE,ORG,1994
The Desktop Applications Division,ORG,1994
Company,ORG,1994
Company,ORG,1994
Macintosh,ORG,1994
MICROSOFT OFFICE,ORG,1994
Microsoft Office,ORG,1994
Company,ORG,1994
OLE,ORG,1994
Microsoft Office,ORG,1994
Standard and Professional,ORG,1994
Microsoft Word,ORG,1994
Microsoft Excel,ORG,1994
Microsoft,ORG,1994
Microsoft Mail,ORG,1994
The Microsoft Office Professional Edition for Windows,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft Word,ORG,1994
Microsoft,ORG,1994
MS-DOS,ORG,1994
Microsoft Word,ORG,1994
Microsoft Word,ORG,1994
Company,ORG,1994
Macintosh,ORG,1994
Company,ORG,1994
Microsoft Excel,ORG,1994
Microsoft Excel,ORG,1994
Microsoft Excel,ORG,1994
Microsoft Excel,ORG,1994
Apple,ORG,1994
Microsoft Excel,ORG,1994
Microsoft,ORG,1994
PowerPoint,ORG,1994
Microsoft,ORG,1994
PROJECT MANAGEMENT,ORG,1994
Microsoft Project,ORG,1994
The Developer Division,ORG,1994
Company,ORG,1994
Microsoft Access,ORG,1994
Microsoft,ORG,1994
Microsoft SQL Server,ORG,1994
Microsoft Access,ORG,1994
Microsoft Office,ORG,1994
Microsoft,ORG,1994
xBase,ORG,1994
MS-DOS,ORG,1994
Macintosh,ORG,1994
The Open Database Connectivity,ORG,1994
Microsoft Windows,ORG,1994
SOFTWARE DEVELOPMENT TOOLS AND COMPUTER,ORG,1994
Software,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft Visual Basic(TM,ORG,1994
Microsoft Access,ORG,1994
OLE,ORG,1994
Company,ORG,1994
Assembly,ORG,1994
FORTRAN,ORG,1994
MS-DOS,ORG,1994
Company,ORG,1994
the Microsoft Developer Network,ORG,1994
MSDN,ORG,1994
Microsoft Consumer,ORG,1994
"Personal Tools, Personal Transactions, Family Reference/Information",ORG,1994
the Family Reference/Information and Lifestyle,ORG,1994
Consumer,ORG,1994
the Microsoft Mouse,ORG,1994
the Microsoft BallPoint Mouse,ORG,1994
Company,ORG,1994
Microsoft Works,ORG,1994
Microsoft,ORG,1994
Microsoft Works,ORG,1994
Macintosh,ORG,1994
Microsoft Works,ORG,1994
Microsoft Works,ORG,1994
Microsoft Works,ORG,1994
OEM,ORG,1994
Microsoft Publisher,ORG,1994
Microsoft Money,ORG,1994
Microsoft Money,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Bookshelf,ORG,1994
Microsoft Dinosaurs,ORG,1994
Microsoft Dangerous Creatures,ORG,1994
Microsoft Ancient Lands,ORG,1994
Microsoft,ORG,1994
Microsoft Beethoven,ORG,1994
The Ninth Symphony,ORG,1994
Microsoft,ORG,1994
Microsoft Mozart:,ORG,1994
Microsoft Multimedia Strauss,ORG,1994
Microsoft Musical Instruments,ORG,1994
Company,ORG,1994
Company,ORG,1994
Bruce Artwick Organization Ltd.,ORG,1994
Microsoft Flight Simulator,ORG,1994
MS-DOS,ORG,1994
Macintosh,ORG,1994
Microsoft Golf,ORG,1994
